datetime,pm2_5,pm10,no2,o3,aqi
2025-07-17 16:00:00+00:00,13.32,34.25,9.5,81.87,2
2025-07-17 17:00:00+00:00,13.0,31.44,10.0,85.1,2
2025-07-17 18:00:00+00:00,12.24,27.77,11.65,84.35,2
2025-07-17 19:00:00+00:00,11.46,24.48,15.04,79.88,2
2025-07-17 20:00:00+00:00,11.07,22.46,18.52,73.79,2
2025-07-17 21:00:00+00:00,10.92,21.09,20.6,67.7,2
2025-07-17 22:00:00+00:00,10.98,20.24,22.85,62.33,2
2025-07-17 23:00:00+00:00,11.2,19.75,25.11,57.32,2
2025-07-18 00:00:00+00:00,11.41,19.42,26.86,52.9,2
2025-07-18 01:00:00+00:00,11.45,19.18,27.65,48.91,2
2025-07-18 02:00:00+00:00,11.22,18.75,27.87,44.91,2
2025-07-18 03:00:00+00:00,10.69,17.8,28.03,40.56,2
2025-07-18 04:00:00+00:00,9.89,16.45,28.3,36.22,1
2025-07-18 05:00:00+00:00,8.85,15.37,28.53,32.7,1
2025-07-18 06:00:00+00:00,7.88,14.24,26.74,33.41,1
2025-07-18 07:00:00+00:00,7.31,13.4,21.96,38.22,1
2025-07-18 08:00:00+00:00,7.19,13.15,19.71,40.9,1
2025-07-18 09:00:00+00:00,7.41,13.22,18.92,42.64,1
2025-07-18 10:00:00+00:00,7.85,13.59,18.74,44.15,1
2025-07-18 11:00:00+00:00,8.47,14.58,19.01,46.24,1
2025-07-18 12:00:00+00:00,9.3,15.72,19.57,49.49,1
2025-07-18 13:00:00+00:00,10.29,16.53,20.39,54.14,2
2025-07-18 14:00:00+00:00,11.29,17.25,21.38,58.76,2
2025-07-18 15:00:00+00:00,12.18,17.83,22.76,62.31,2
2025-07-18 16:00:00+00:00,12.84,18.21,25.03,65.29,2
2025-07-18 17:00:00+00:00,13.2,18.29,27.85,67.56,2
2025-07-18 18:00:00+00:00,13.33,18.15,32.01,68.2,2
2025-07-18 19:00:00+00:00,13.33,17.91,37.01,66.07,2
2025-07-18 20:00:00+00:00,13.15,17.49,37.45,63.73,2
2025-07-18 21:00:00+00:00,12.58,16.73,36.55,60.46,2
2025-07-18 22:00:00+00:00,11.62,15.04,35.99,57.08,2
2025-07-18 23:00:00+00:00,11.1,13.81,35.88,53.37,2
2025-07-19 00:00:00+00:00,11.0,13.3,36.55,49.89,2
2025-07-19 01:00:00+00:00,10.72,12.6,36.66,46.98,2
2025-07-19 02:00:00+00:00,9.62,11.08,32.86,44.28,1
2025-07-19 03:00:00+00:00,7.8,8.82,25.28,43.8,1
2025-07-19 04:00:00+00:00,6.04,6.78,17.08,48.08,1
2025-07-19 05:00:00+00:00,4.89,5.45,11.51,54.55,1
2025-07-19 06:00:00+00:00,4.11,4.51,8.2,61.02,2
2025-07-19 07:00:00+00:00,3.78,4.18,7.03,62.39,2
2025-07-19 08:00:00+00:00,3.84,4.32,7.95,58.09,1
2025-07-19 09:00:00+00:00,4.04,4.61,9.64,54.14,1
2025-07-19 10:00:00+00:00,4.43,5.05,11.55,51.81,1
2025-07-19 11:00:00+00:00,5.17,5.82,15.44,47.75,1
2025-07-19 12:00:00+00:00,6.38,7.12,20.21,43.8,1
2025-07-19 13:00:00+00:00,7.59,8.93,19.05,50.29,1
2025-07-19 14:00:00+00:00,8.98,11.85,16.16,60.74,2
